X(in)	Y(in)	Z(in)	P(psia)	T(R)	RHO(lbm/ft3)	Mach	Velocity(ft/s)	Theta(deg)	Psi(deg)	Radii#	Pt#	Total Pt#	BodyFlag
0	0	0	1000	530	5.09176	1.1	1241.53	0	0	0	0	0	0
0.142857	0	0	1000	530	5.09176	1.1	1241.53	0	0	1	0	1	0
0.101015	0.101015	0	1000	530	5.09176	1.1	1241.53	0	0	1	1	2	0
8.74719e-018	0.142857	0	1000	530	5.09176	1.1	1241.53	0	0	1	2	3	0
-0.101015	0.101015	0	1000	530	5.09176	1.1	1241.53	0	0	1	3	4	0
-0.142857	1.74944e-017	0	1000	530	5.09176	1.1	1241.53	0	0	1	4	5	0
-0.101015	-0.101015	0	1000	530	5.09176	1.1	1241.53	0	0	1	5	6	0
-2.62416e-017	-0.142857	0	1000	530	5.09176	1.1	1241.53	0	0	1	6	7	0
0.101015	-0.101015	0	1000	530	5.09176	1.1	1241.53	0	0	1	7	8	0
0.285714	0	0	1000	530	5.09176	1.1	1241.53	0	0	2	0	9	0
0.252987	0.132778	0	1000	530	5.09176	1.1	1241.53	0	0	2	1	10	0
0.162304	0.235138	0	1000	530	5.09176	1.1	1241.53	0	0	2	2	11	0
0.0344391	0.283631	0	1000	530	5.09176	1.1	1241.53	0	0	2	3	12	0
-0.101316	0.267147	0	1000	530	5.09176	1.1	1241.53	0	0	2	4	13	0
-0.21386	0.189464	0	1000	530	5.09176	1.1	1241.53	0	0	2	5	14	0
-0.277412	0.0683759	0	1000	530	5.09176	1.1	1241.53	0	0	2	6	15	0
-0.277412	-0.0683759	0	1000	530	5.09176	1.1	1241.53	0	0	2	7	16	0
-0.21386	-0.189464	0	1000	530	5.09176	1.1	1241.53	0	0	2	8	17	0
-0.101316	-0.267147	0	1000	530	5.09176	1.1	1241.53	0	0	2	9	18	0
0.0344391	-0.283631	0	1000	530	5.09176	1.1	1241.53	0	0	2	10	19	0
0.162304	-0.235138	0	1000	530	5.09176	1.1	1241.53	0	0	2	11	20	0
0.252987	-0.132778	0	1000	530	5.09176	1.1	1241.53	0	0	2	12	21	0
