i	j	x	r	mach	theta	press	temp	Massflow
0	57	0.26252	1.03507	1.63922	15.2196	12.2067	344.736	3.95979
1	57	0.276572	1.02931	1.64323	15.2363	12.134	344.147	3.90043
2	57	0.292079	1.02298	1.64795	15.2461	12.0485	343.453	3.83573
3	57	0.308328	1.01641	1.65318	15.2487	11.9546	342.686	3.76886
4	57	0.325309	1.00958	1.6589	15.2446	11.8528	341.85	3.69999
5	57	0.343013	1.00252	1.66507	15.2343	11.7436	340.947	3.6293
6	57	0.361426	0.995225	1.67168	15.2184	11.6277	339.983	3.55697
7	57	0.380531	0.987721	1.6787	15.1976	11.5058	338.96	3.48321
8	57	0.400312	0.980015	1.6861	15.1724	11.3785	337.884	3.40821
9	57	0.42075	0.972119	1.69385	15.1434	11.2464	336.759	3.33216
10	57	0.441827	0.964047	1.70194	15.111	11.11	335.587	3.25525
11	57	0.463524	0.95581	1.71035	15.0757	10.9698	334.372	3.17767
12	57	0.485823	0.94742	1.71906	15.0377	10.8263	333.116	3.09959
13	57	0.508707	0.938888	1.72806	14.9973	10.6799	331.822	3.02116
14	57	0.532159	0.930226	1.73734	14.9547	10.5308	330.492	2.94255
15	57	0.556164	0.921441	1.74689	14.9099	10.3792	329.126	2.86389
16	57	0.580709	0.912545	1.75671	14.8628	10.2255	327.726	2.78532
17	57	0.605781	0.903545	1.76681	14.8134	10.0696	326.29	2.70695
18	57	0.631368	0.894449	1.77718	14.7613	9.9117	324.82	2.62891
19	57	0.657463	0.885264	1.78783	14.7065	9.75184	323.315	2.55129
20	57	0.684057	0.875995	1.79878	14.6484	9.59004	321.773	2.47419
21	57	0.711143	0.866649	1.81004	14.5867	9.42627	320.193	2.39769
22	57	0.738717	0.857228	1.82162	14.521	9.26051	318.574	2.32188
23	57	0.766776	0.847737	1.83354	14.4508	9.09271	316.914	2.24683
24	57	0.7861	0.841256	1.84147	14.4109	8.98269	315.814	2.19634
25	57	0.814747	0.83173	1.8539	14.3329	8.81272	314.095	2.12324
26	57	0.834555	0.825197	1.86223	14.2868	8.70048	312.947	2.07391
27	57	0.854504	0.818664	1.87071	14.238	8.58753	311.78	2.02519
28	57	0.873623	0.812446	1.87794	14.2175	8.49239	310.79	1.97937
29	57	0.892024	0.806503	1.88445	14.2111	8.40755	309.899	1.93602
30	57	0.910439	0.800598	1.89117	14.1999	8.32092	308.984	1.89336
31	57	0.929007	0.794684	1.89816	14.1829	8.23154	308.032	1.85108
32	57	0.947421	0.78886	1.90503	14.1685	8.14459	307.099	1.80986
33	57	0.966199	0.782962	1.91238	14.1451	8.05266	306.104	1.76856
34	57	0.984903	0.777126	1.91966	14.1232	7.96242	305.12	1.72814
35	57	1.00378	0.771276	1.92719	14.097	7.87025	304.107	1.68807
36	57	1.023	0.765361	1.93512	14.063	7.7741	303.041	1.64803
37	57	1.04182	0.759609	1.94263	14.0377	7.68417	302.035	1.60953
38	57	1.05773	0.754774	1.94966	13.9979	7.60093	301.096	1.57754
39	57	1.07701	0.74895	1.95774	13.9622	7.50629	300.02	1.53945
40	57	1.09273	0.744229	1.96454	13.9274	7.42744	299.117	1.50892
41	57	1.10901	0.739367	1.97196	13.8812	7.34233	298.133	1.47783
42	57	1.12496	0.734627	1.97903	13.8419	7.26213	297.199	1.44786
43	57	1.14077	0.729954	1.98601	13.8041	7.18383	296.28	1.41864
44	57	1.15704	0.725167	1.99355	13.7555	7.1001	295.289	1.38905
45	57	1.17336	0.720393	2.00118	13.7051	7.01633	294.29	1.35989
46	57	1.18888	0.715872	2.00798	13.6701	6.94247	293.401	1.3326
47	57	1.2049	0.711229	2.01544	13.6223	6.86234	292.43	1.30489
48	57	1.21956	0.706999	2.02261	13.5694	6.78618	291.499	1.27993
49	57	1.23402	0.702845	2.02961	13.5191	6.71257	290.592	1.25571
50	57	1.24776	0.698915	2.03589	13.4817	6.64721	289.781	1.23305
51	57	1.26332	0.694481	2.04329	13.4319	6.57103	288.828	1.20776
52	57	1.27678	0.690661	2.05004	13.3793	6.50216	287.96	1.18622
53	57	1.29086	0.686678	2.05711	13.3243	6.43087	287.054	1.16403
54	57	1.30414	0.682938	2.06343	13.2821	6.36784	286.247	1.14341
55	57	1.31655	0.679453	2.06943	13.2402	6.30848	285.482	1.12441
56	57	1.32907	0.675952	2.07573	13.1914	6.24679	284.682	1.1055
57	57	1.34145	0.672498	2.08207	13.1401	6.18523	283.877	1.08706
58	57	1.35357	0.669128	2.08833	13.0886	6.12504	283.086	1.06925
59	57	1.36529	0.665877	2.09438	13.0391	6.06745	282.322	1.05225
60	57	1.37591	0.662939	2.09944	13.0056	6.01967	281.685	1.03704
61	57	1.38658	0.659996	2.10485	12.9635	5.96906	281.007	1.02194
62	57	1.39675	0.657196	2.11018	12.9186	5.91954	280.339	1.0077
63	57	1.40653	0.654511	2.11538	12.8734	5.87158	279.688	0.99417
64	57	1.41062	0.653391	2.1182	12.8375	5.84582	279.337	0.988566
65	57	1.41333	0.652646	2.12041	12.8045	5.82563	279.061	0.984856
66	57	1.41856	0.651214	2.12361	12.769	5.79655	278.662	0.977763
67	57	1.42585	0.649218	2.12725	12.7416	5.76371	278.21	0.967934
68	57	1.43601	0.646442	2.13218	12.7072	5.71946	277.598	0.954365
69	57	1.44915	0.642863	2.13847	12.665	5.66342	276.818	0.937038
70	57	1.46525	0.638493	2.14607	12.6166	5.59651	275.88	0.91614
71	57	1.48434	0.633335	2.15501	12.5618	5.51885	274.781	0.891825
72	57	1.50657	0.627359	2.16543	12.4982	5.42962	273.504	0.864126
73	57	1.53227	0.620491	2.17765	12.4211	5.32681	272.014	0.832918
74	57	1.56191	0.612623	2.19216	12.3222	5.20717	270.254	0.798005
75	57	1.59635	0.603544	2.20991	12.1858	5.06454	268.118	0.758867
76	57	1.6375	0.592768	2.23299	11.9753	4.8848	265.364	0.714122
77	57	1.69623	0.57747	2.27038	11.5606	4.60715	260.965	0.654152
78	57	1.76244	0.560289	2.31188	11.1081	4.31752	256.168	0.591815
79	57	1.82669	0.543683	2.34981	10.7269	4.06883	251.863	0.536178
80	57	1.89868	0.525144	2.39348	10.2716	3.80044	247	0.479046
81	57	1.93527	0.515739	2.41501	10.0567	3.67487	244.64	0.451985
82	57	1.97459	0.505643	2.43886	9.80873	3.54065	242.053	0.424305
83	57	2.0113	0.496223	2.46045	9.59359	3.42346	239.736	0.399716
84	57	2.05659	0.484603	2.48774	9.31329	3.28103	236.843	0.370966
85	57	2.09374	0.475073	2.50971	9.09337	3.17078	234.541	0.348642
86	57	2.14589	0.461689	2.54098	8.77533	3.0204	231.308	0.319113
87	57	2.1835	0.452029	2.56329	8.5521	2.91764	229.032	0.29907
88	57	2.24348	0.436603	2.59913	8.19098	2.76006	225.427	0.269153
89	57	2.28162	0.426777	2.62176	7.96545	2.66512	223.184	0.251375
90	57	2.35056	0.408974	2.66281	7.55582	2.50147	219.179	0.221539
91	57	2.38934	0.398934	2.68579	7.32858	2.41447	216.974	0.205991
92	57	2.42827	0.388833	2.70889	7.10022	2.33018	214.782	0.191225
93	57	2.46848	0.378372	2.73266	6.86706	2.24668	212.554	0.176818
94	57	2.50815	0.368024	2.75615	6.63664	2.16721	210.378	0.163412
95	57	2.54774	0.357671	2.77944	6.41036	2.09132	208.247	0.150797
96	57	2.59918	0.344172	2.80975	6.11626	1.99671	205.51	0.135486
97	57	2.63968	0.333503	2.83353	5.88741	1.92568	203.394	0.124247
98	57	2.68037	0.322751	2.85737	5.65885	1.85709	201.298	0.113647
99	57	2.74457	0.30571	2.89485	5.30241	1.75445	198.054	0.0982489
100	57	2.78628	0.294585	2.91915	5.07276	1.69113	195.985	0.0890675
101	57	2.82818	0.283369	2.94347	4.84464	1.63018	193.94	0.0804623
102	57	2.90743	0.262027	2.98931	4.41788	1.52152	190.155	0.065769
103	57	2.95055	0.250347	3.01413	4.1892	1.46593	188.144	0.0585927
104	57	2.99401	0.238523	3.0391	3.96015	1.41216	186.146	0.0519061
105	57	3.03772	0.22658	3.06408	3.73321	1.36049	184.174	0.0457086
106	57	3.09103	0.211941	3.0945	3.4582	1.30026	181.807	0.0388262
107	57	3.13598	0.199535	3.12003	3.22941	1.25191	179.849	0.0335706
108	57	3.18129	0.18697	3.14567	3.00134	1.20529	177.909	0.0287515
109	57	3.22698	0.174238	3.17143	2.77384	1.16031	175.986	0.0243539
110	57	3.29966	0.153859	3.21223	2.41698	1.09272	172.994	0.0182573
111	57	3.34684	0.140544	3.23856	2.18897	1.05134	171.097	0.0148523
112	57	3.39449	0.127029	3.26508	1.96098	1.01138	169.213	0.0118275
113	57	3.44258	0.113318	3.29171	1.73409	0.972884	167.347	0.00917386
114	57	3.53888	0.0856511	3.34475	1.28704	0.900834	163.708	0.00498382
115	57	3.58882	0.0711898	3.37195	1.06171	0.866127	161.881	0.00335388
116	57	3.63941	0.0564594	3.39969	0.83113	0.832218	160.044	0.00205422
117	57	3.69047	0.0415153	3.42717	0.607961	0.800045	158.251	0.00108095
118	57	3.74217	0.0262972	3.4553	0.377185	0.7685	156.443	0.000421331
119	57	3.81598	0.0044146	3.49351	0.0516255	0.727778	154.028	1.15078e-05
120	57	3.8308	0	3.5	0	0.721101	153.623	0
