i	j	x	r	mach	theta	press	temp
0	58	0.283232	1.04079	1.66052	15.6366	107.491	341.612
1	58	0.284843	1.04016	1.66098	15.6384	107.417	341.545
2	58	0.300537	1.03404	1.66579	15.6476	106.645	340.842
3	58	0.316986	1.02766	1.67111	15.6494	105.798	340.066
4	58	0.334181	1.02105	1.67691	15.6446	104.88	339.22
5	58	0.352112	1.01421	1.68318	15.6335	103.896	338.308
6	58	0.370763	1.00715	1.68988	15.6169	102.853	337.335
7	58	0.39012	0.999875	1.697	15.5953	101.756	336.303
8	58	0.410163	0.992408	1.7045	15.5694	100.611	335.217
9	58	0.430876	0.984758	1.71237	15.5395	99.4229	334.081
10	58	0.452239	0.976936	1.72057	15.5063	98.197	332.899
11	58	0.474233	0.968954	1.7291	15.4701	96.9376	331.673
12	58	0.49684	0.960824	1.73793	15.4312	95.6486	330.407
13	58	0.520042	0.952557	1.74705	15.3898	94.3334	329.103
14	58	0.543823	0.944162	1.75646	15.3462	92.9948	327.762
15	58	0.568168	0.93565	1.76614	15.3003	91.6348	326.385
16	58	0.593063	0.92703	1.77609	15.2521	90.2552	324.973
17	58	0.618495	0.918309	1.78633	15.2015	88.8572	323.527
18	58	0.644454	0.909495	1.79684	15.1482	87.4416	322.046
19	58	0.670931	0.900593	1.80764	15.092	86.0089	320.53
20	58	0.697918	0.891611	1.81874	15.0326	84.5592	318.977
21	58	0.72541	0.882553	1.83015	14.9696	83.0925	317.386
22	58	0.753401	0.873423	1.84189	14.9025	81.6087	315.756
23	58	0.781889	0.864224	1.85397	14.8308	80.1072	314.085
24	58	0.801505	0.857944	1.862	14.7897	79.1226	312.978
25	58	0.8306	0.848708	1.8746	14.7102	77.6029	311.248
26	58	0.850715	0.842377	1.88304	14.663	76.5993	310.093
27	58	0.870974	0.836044	1.89164	14.613	75.5896	308.919
28	58	0.890374	0.830023	1.89897	14.591	74.738	307.921
29	58	0.909035	0.824273	1.90559	14.583	73.978	307.023
30	58	0.927716	0.818557	1.91241	14.5702	73.2026	306.1
31	58	0.946556	0.812832	1.91951	14.5516	72.403	305.141
32	58	0.965239	0.807195	1.92649	14.5356	71.6253	304.201
33	58	0.984299	0.801484	1.93393	14.5105	70.8039	303.2
34	58	1.00328	0.795834	1.94133	14.4869	69.9976	302.21
35	58	1.02245	0.790169	1.94896	14.459	69.1746	301.19
36	58	1.04197	0.78444	1.957	14.4234	68.3166	300.118
37	58	1.06107	0.77887	1.96462	14.3964	67.514	299.106
38	58	1.07725	0.774184	1.97173	14.3553	66.7722	298.164
39	58	1.09683	0.768542	1.97992	14.3178	65.9284	297.082
40	58	1.11281	0.763967	1.98682	14.2817	65.2259	296.174
41	58	1.12936	0.759253	1.99433	14.2341	64.4683	295.187
42	58	1.14558	0.754658	2.00149	14.1934	63.7542	294.249
43	58	1.16164	0.750129	2.00856	14.1542	63.0572	293.327
44	58	1.1782	0.745486	2.01619	14.1043	62.3124	292.333
45	58	1.19479	0.740855	2.02391	14.0525	61.5676	291.33
46	58	1.21057	0.736473	2.0308	14.016	60.9104	290.438
47	58	1.22686	0.731969	2.03835	13.9668	60.1982	289.464
48	58	1.24179	0.727863	2.0456	13.9127	59.5217	288.53
49	58	1.25651	0.723831	2.05268	13.8612	58.868	287.621
50	58	1.27047	0.720019	2.05904	13.8225	58.2872	286.808
51	58	1.28631	0.715716	2.06652	13.7713	57.6107	285.853
52	58	1.30002	0.712005	2.07335	13.7176	56.9996	284.983
53	58	1.31436	0.708137	2.0805	13.6614	56.3671	284.076
54	58	1.32788	0.704506	2.08689	13.618	55.8077	283.268
55	58	1.34051	0.701123	2.09296	13.575	55.2811	282.501
56	58	1.35326	0.697721	2.09933	13.5251	54.7341	281.7
57	58	1.36587	0.694364	2.10574	13.4729	54.1884	280.895
58	58	1.37822	0.691088	2.11207	13.4204	53.6551	280.102
59	58	1.39017	0.687927	2.11818	13.3699	53.1448	279.338
60	58	1.40098	0.685075	2.1233	13.3353	52.7212	278.7
61	58	1.41185	0.682214	2.12877	13.2923	52.2728	278.021
62	58	1.42222	0.679491	2.13416	13.2466	51.8343	277.353
63	58	1.43219	0.676879	2.13942	13.2007	51.4097	276.702
64	58	1.43638	0.675784	2.14225	13.1647	51.1821	276.351
65	58	1.43917	0.675053	2.14448	13.1318	51.004	276.076
66	58	1.44451	0.673657	2.14771	13.0961	50.747	275.678
67	58	1.45193	0.671716	2.15139	13.0681	50.4561	275.225
68	58	1.46228	0.669018	2.15638	13.0327	50.0641	274.613
69	58	1.47566	0.665539	2.16274	12.9891	49.5678	273.832
70	58	1.49206	0.661293	2.17043	12.9389	48.9752	272.893
71	58	1.51149	0.656281	2.17947	12.8819	48.2874	271.792
72	58	1.53412	0.650473	2.19001	12.8158	47.4975	270.514
73	58	1.56029	0.643796	2.20237	12.7358	46.5878	269.024
74	58	1.59049	0.636143	2.21704	12.6335	45.5299	267.264
75	58	1.6256	0.627303	2.23497	12.4935	44.27	265.13
76	58	1.66762	0.616791	2.25828	12.2794	42.6843	262.381
77	58	1.72775	0.601821	2.29598	11.8618	40.2387	257.995
78	58	1.79554	0.584995	2.33782	11.4059	37.6892	253.215
79	58	1.86128	0.568734	2.3761	11.0203	35.5006	248.924
80	58	1.93501	0.550548	2.42014	10.5604	33.1412	244.08
81	58	1.97247	0.54132	2.44185	10.3429	32.0377	241.73
82	58	2.01275	0.5314	2.4659	10.0925	30.8591	239.155
83	58	2.05035	0.522145	2.48768	9.87463	29.8302	236.849
84	58	2.09677	0.510715	2.51519	9.59135	28.5806	233.971
85	58	2.13484	0.501337	2.53735	9.36874	27.6136	231.681
86	58	2.18832	0.488151	2.56887	9.04714	26.2956	228.466
87	58	2.22688	0.478629	2.59135	8.82117	25.3954	226.204
88	58	2.2884	0.463407	2.62746	8.4558	24.0158	222.623
89	58	2.32753	0.453704	2.65026	8.22744	23.185	220.395
90	58	2.39829	0.436104	2.69161	7.81273	21.7541	216.419
91	58	2.43809	0.426169	2.71474	7.58253	20.9938	214.231
