i	j	x	r	mach	theta	press	temp	Massflow
0	57	0.26252	1.03507	1.63922	15.2196	110.97	344.736	35.9981
1	57	0.276572	1.02931	1.64323	15.2363	110.309	344.147	35.4584
2	57	0.292079	1.02298	1.64795	15.2461	109.532	343.453	34.8703
3	57	0.308328	1.01641	1.65318	15.2487	108.678	342.686	34.2624
4	57	0.325309	1.00958	1.6589	15.2446	107.753	341.85	33.6363
5	57	0.343013	1.00252	1.66507	15.2343	106.76	340.947	32.9936
6	57	0.361426	0.995225	1.67168	15.2184	105.707	339.983	32.3361
7	57	0.380531	0.987721	1.6787	15.1976	104.599	338.96	31.6655
8	57	0.400312	0.980015	1.6861	15.1724	103.441	337.884	30.9837
9	57	0.42075	0.972119	1.69385	15.1434	102.24	336.759	30.2924
10	57	0.441827	0.964047	1.70194	15.111	101	335.587	29.5932
11	57	0.463524	0.95581	1.71035	15.0757	99.7258	334.372	28.8879
12	57	0.485823	0.94742	1.71906	15.0377	98.4214	333.116	28.1781
13	57	0.508707	0.938888	1.72806	14.9973	97.0899	331.822	27.4651
14	57	0.532159	0.930226	1.73734	14.9547	95.7343	330.492	26.7504
15	57	0.556164	0.921441	1.74689	14.9099	94.3567	329.126	26.0354
16	57	0.580709	0.912545	1.75671	14.8628	92.9588	327.726	25.3211
17	57	0.605781	0.903545	1.76681	14.8134	91.5417	326.29	24.6087
18	57	0.631368	0.894449	1.77718	14.7613	90.1064	324.82	23.8992
19	57	0.657463	0.885264	1.78783	14.7065	88.6531	323.315	23.1935
20	57	0.684057	0.875995	1.79878	14.6484	87.1822	321.773	22.4926
21	57	0.711143	0.866649	1.81004	14.5867	85.6933	320.193	21.7972
22	57	0.738717	0.857228	1.82162	14.521	84.1864	318.574	21.108
23	57	0.766776	0.847737	1.83354	14.4508	82.661	316.914	20.4258
24	57	0.7861	0.841256	1.84147	14.4109	81.6609	315.814	19.9667
25	57	0.814747	0.83173	1.8539	14.3329	80.1156	314.095	19.3022
26	57	0.834555	0.825197	1.86223	14.2868	79.0953	312.947	18.8537
27	57	0.854504	0.818664	1.87071	14.238	78.0684	311.78	18.4108
28	57	0.873623	0.812446	1.87794	14.2175	77.2036	310.79	17.9943
29	57	0.892024	0.806503	1.88445	14.2111	76.4322	309.899	17.6002
30	57	0.910439	0.800598	1.89117	14.1999	75.6447	308.984	17.2124
31	57	0.929007	0.794684	1.89816	14.1829	74.8322	308.032	16.828
32	57	0.947421	0.78886	1.90503	14.1685	74.0417	307.099	16.4533
33	57	0.966199	0.782962	1.91238	14.1451	73.206	306.104	16.0778
34	57	0.984903	0.777126	1.91966	14.1232	72.3856	305.12	15.7104
35	57	1.00378	0.771276	1.92719	14.097	71.5478	304.107	15.3461
36	57	1.023	0.765361	1.93512	14.063	70.6737	303.041	14.982
37	57	1.04182	0.759609	1.94263	14.0377	69.8561	302.035	14.6321
38	57	1.05773	0.754774	1.94966	13.9979	69.0994	301.096	14.3412
39	57	1.07701	0.74895	1.95774	13.9622	68.239	300.02	13.995
40	57	1.09273	0.744229	1.96454	13.9274	67.5222	299.117	13.7174
41	57	1.10901	0.739367	1.97196	13.8812	66.7485	298.133	13.4348
42	57	1.12496	0.734627	1.97903	13.8419	66.0193	297.199	13.1623
43	57	1.14077	0.729954	1.98601	13.8041	65.3075	296.28	12.8967
44	57	1.15704	0.725167	1.99355	13.7555	64.5463	295.289	12.6277
45	57	1.17336	0.720393	2.00118	13.7051	63.7848	294.29	12.3627
46	57	1.18888	0.715872	2.00798	13.6701	63.1133	293.401	12.1146
47	57	1.2049	0.711229	2.01544	13.6223	62.3849	292.43	11.8626
48	57	1.21956	0.706999	2.02261	13.5694	61.6926	291.499	11.6357
49	57	1.23402	0.702845	2.02961	13.5191	61.0234	290.592	11.4156
50	57	1.24776	0.698915	2.03589	13.4817	60.4292	289.781	11.2095
51	57	1.26332	0.694481	2.04329	13.4319	59.7366	288.828	10.9796
52	57	1.27678	0.690661	2.05004	13.3793	59.1106	287.96	10.7838
53	57	1.29086	0.686678	2.05711	13.3243	58.4624	287.054	10.5821
54	57	1.30414	0.682938	2.06343	13.2821	57.8894	286.247	10.3947
55	57	1.31655	0.679453	2.06943	13.2402	57.3498	285.482	10.2219
56	57	1.32907	0.675952	2.07573	13.1914	56.789	284.682	10.05
57	57	1.34145	0.672498	2.08207	13.1401	56.2293	283.877	9.88234
58	57	1.35357	0.669128	2.08833	13.0886	55.6822	283.086	9.72046
59	57	1.36529	0.665877	2.09438	13.0391	55.1586	282.322	9.56594
60	57	1.37591	0.662939	2.09944	13.0056	54.7243	281.685	9.42765
61	57	1.38658	0.659996	2.10485	12.9635	54.2642	281.007	9.29032
62	57	1.39675	0.657196	2.11018	12.9186	53.814	280.339	9.16089
63	57	1.40653	0.654511	2.11538	12.8734	53.378	279.688	9.03791
64	57	1.41062	0.653391	2.1182	12.8375	53.1438	279.337	8.98696
65	57	1.41333	0.652646	2.12041	12.8045	52.9602	279.061	8.95324
66	57	1.41856	0.651214	2.12361	12.769	52.6959	278.662	8.88876
67	57	1.42585	0.649218	2.12725	12.7416	52.3973	278.21	8.7994
68	57	1.43601	0.646442	2.13218	12.7072	51.9951	277.598	8.67604
69	57	1.44915	0.642863	2.13847	12.665	51.4857	276.818	8.51853
70	57	1.46525	0.638493	2.14607	12.6166	50.8774	275.88	8.32854
71	57	1.48434	0.633335	2.15501	12.5618	50.1714	274.781	8.1075
72	57	1.50657	0.627359	2.16543	12.4982	49.3601	273.504	7.85569
73	57	1.53227	0.620491	2.17765	12.4211	48.4255	272.014	7.57199
74	57	1.56191	0.612623	2.19216	12.3222	47.3379	270.254	7.25459
75	57	1.59635	0.603544	2.20991	12.1858	46.0413	268.118	6.89879
76	57	1.6375	0.592768	2.23299	11.9753	44.4073	265.364	6.49201
77	57	1.69623	0.57747	2.27038	11.5606	41.8832	260.965	5.94684
78	57	1.76244	0.560289	2.31188	11.1081	39.2502	256.168	5.38014
79	57	1.82669	0.543683	2.34981	10.7269	36.9894	251.863	4.87435
80	57	1.89868	0.525144	2.39348	10.2716	34.5495	247	4.35496
81	57	1.93527	0.515739	2.41501	10.0567	33.4079	244.64	4.10895
82	57	1.97459	0.505643	2.43886	9.80873	32.1877	242.053	3.85732
83	57	2.0113	0.496223	2.46045	9.59359	31.1224	239.736	3.63378
84	57	2.05659	0.484603	2.48774	9.31329	29.8275	236.843	3.37242
85	57	2.09374	0.475073	2.50971	9.09337	28.8253	234.541	3.16947
86	57	2.14589	0.461689	2.54098	8.77533	27.4581	231.308	2.90103
87	57	2.1835	0.452029	2.56329	8.5521	26.524	229.032	2.71881
88	57	2.24348	0.436603	2.59913	8.19098	25.0915	225.427	2.44685
89	57	2.28162	0.426777	2.62176	7.96545	24.2283	223.184	2.28523
90	57	2.35056	0.408974	2.66281	7.55582	22.7406	219.179	2.01399
91	57	2.38934	0.398934	2.68579	7.32858	21.9497	216.974	1.87264
92	57	2.42827	0.388833	2.70889	7.10022	21.1835	214.782	1.73841
93	57	2.46848	0.378372	2.73266	6.86706	20.4243	212.554	1.60744
94	57	2.50815	0.368024	2.75615	6.63664	19.7019	210.378	1.48556
95	57	2.54774	0.357671	2.77944	6.41036	19.012	208.247	1.37088
96	57	2.59918	0.344172	2.80975	6.11626	18.1519	205.51	1.23169
97	57	2.63968	0.333503	2.83353	5.88741	17.5062	203.394	1.12952
98	57	2.68037	0.322751	2.85737	5.65885	16.8827	201.298	1.03315
99	57	2.74457	0.30571	2.89485	5.30241	15.9495	198.054	0.893172
100	57	2.78628	0.294585	2.91915	5.07276	15.3739	195.985	0.809704
101	57	2.82818	0.283369	2.94347	4.84464	14.8199	193.94	0.731475
102	57	2.90743	0.262027	2.98931	4.41788	13.832	190.155	0.5979
103	57	2.95055	0.250347	3.01413	4.1892	13.3266	188.144	0.532661
104	57	2.99401	0.238523	3.0391	3.96015	12.8379	186.146	0.471874
105	57	3.03772	0.22658	3.06408	3.73321	12.3681	184.174	0.415533
106	57	3.09103	0.211941	3.0945	3.4582	11.8205	181.807	0.352966
107	57	3.13598	0.199535	3.12003	3.22941	11.381	179.849	0.305187
108	57	3.18129	0.18697	3.14567	3.00134	10.9572	177.909	0.261377
109	57	3.22698	0.174238	3.17143	2.77384	10.5482	175.986	0.221399
110	57	3.29966	0.153859	3.21223	2.41698	9.93385	172.994	0.165976
111	57	3.34684	0.140544	3.23856	2.18897	9.55767	171.097	0.135021
112	57	3.39449	0.127029	3.26508	1.96098	9.19434	169.213	0.107522
113	57	3.44258	0.113318	3.29171	1.73409	8.8444	167.347	0.0833988
114	57	3.53888	0.0856511	3.34475	1.28704	8.1894	163.708	0.0453075
115	57	3.58882	0.0711898	3.37195	1.06171	7.87388	161.881	0.0304898
116	57	3.63941	0.0564594	3.39969	0.83113	7.56562	160.044	0.0186747
117	57	3.69047	0.0415153	3.42717	0.607961	7.27314	158.251	0.00982685
118	57	3.74217	0.0262972	3.4553	0.377185	6.98636	156.443	0.00383029
119	57	3.81598	0.0044146	3.49351	0.0516255	6.61616	154.028	0.000104616
120	57	3.8308	0	3.5	0	6.55546	153.623	0
