I	ThetaB	xArcMax	LastKernelJ	paramErr
0	25	0.422618	93	1.13334
0	20	0.34202	75	0.389778
1	16	0.275637	60	0.0531839
1	15.368	0.265017	57	0.0105207
2	15.2121	0.262393	57	-0.00345404
3	15.2506	0.263042	57	0.00276467
4	15.2335	0.262754	57	0.00162277
5	15.2121	0.262393	57	-0.00345404
6	15.2267	0.262638	57	0.00114582
7	15.2231	0.262577	57	0.000855226
8	15.2124	0.262398	57	-0.00344665
9	15.2209	0.262542	57	0.000596194
10	15.2197	0.26252	57	6.75708e-05
11	15.2195	0.262518	57	-0.000220025
12	15.2196	0.26252	57	1.83638e-05
13	15.2196	0.26252	57	4.79163e-06
14	15.2196	0.26252	57	-1.3327e-07
15	15.2196	0.26252	57	9.46895e-10
