Centerline Data file
J	X/R*	R/R*	Mach	Pres	Temp	Rho	Theta	Gamma	MassFlow
0	0.724356	0	1.5	136.202	365.518	0.031261	0	1.4	0
1	0.686255	0	1.47804	140.591	368.845	0.0319773	0	1.4	0
2	0.687073	0	1.4761	140.984	369.139	0.0320411	0	1.4	0
3	0.690938	0	1.47459	141.29	369.368	0.0320908	0	1.4	0
4	0.697924	0	1.4733	141.553	369.564	0.0321333	0	1.4	0
5	0.708137	0	1.47215	141.787	369.739	0.0321714	0	1.4	0
6	0.721658	0	1.47109	142.003	369.899	0.0322063	0	1.4	0
7	0.738563	0	1.47011	142.204	370.049	0.0322389	0	1.4	0
8	0.758874	0	1.46918	142.394	370.19	0.0322696	0	1.4	0
9	0.782665	0	1.4683	142.574	370.324	0.0322988	0	1.4	0
10	0.810079	0	1.46745	142.747	370.452	0.0323268	0	1.4	0
11	0.841221	0	1.46664	142.914	370.576	0.0323537	0	1.4	0
12	0.87622	0	1.46586	143.075	370.695	0.0323797	0	1.4	0
13	0.915036	0	1.46511	143.228	370.808	0.0324045	0	1.4	0
14	0.961683	0	1.51625	133.027	363.063	0.0307388	0	1.4	0
15	1.01674	0	1.58896	119.574	352.17	0.0284847	0	1.4	0
16	1.07671	0	1.63711	111.32	345.046	0.0270659	0	1.4	0
17	1.14321	0	1.70217	100.966	335.555	0.0252429	0	1.4	0
18	1.17917	0	1.72677	97.2803	332.008	0.0245812	0	1.4	0
19	1.21675	0	1.76368	91.9779	326.734	0.0236166	0	1.4	0
20	1.25375	0	1.79005	88.353	323.002	0.0229479	0	1.4	0
21	1.29871	0	1.83002	83.1097	317.405	0.0219667	0	1.4	0
22	1.33694	0	1.8586	79.5379	313.446	0.0212882	0	1.4	0
23	1.39054	0	1.90355	74.2112	307.299	0.0202598	0	1.4	0
24	1.43026	0	1.93386	70.8119	303.21	0.0195925	0	1.4	0
25	1.49408	0	1.98536	65.3739	296.366	0.0185056	0	1.4	0
26	1.53561	0	2.01715	62.2195	292.208	0.0178633	0	1.4	0
27	1.61168	0	2.07678	56.6957	284.548	0.0167156	0	1.4	0
28	1.65541	0	2.10995	53.8329	280.367	0.0161083	0	1.4	0
29	1.69977	0	2.14422	51.025	276.108	0.0155035	0	1.4	0
30	1.74637	0	2.17896	48.3262	271.855	0.0149133	0	1.4	0
31	1.79282	0	2.21455	45.7077	267.562	0.0143315	0	1.4	0
32	1.84002	0	2.24919	43.2959	263.45	0.0137872	0	1.4	0
33	1.90216	0	2.29536	40.2775	258.066	0.0130936	0	1.4	0
34	1.95197	0	2.33176	38.0481	253.901	0.0125717	0	1.4	0
35	2.00272	0	2.36865	35.9161	249.752	0.0120644	0	1.4	0
36	2.0844	0	2.42701	32.788	243.334	0.0113042	0	1.4	0
37	2.13847	0	2.46558	30.8748	239.19	0.010829	0	1.4	0
38	2.19368	0	2.50418	29.074	235.118	0.010374	0	1.4	0
39	2.30049	0	2.57816	25.9196	227.528	0.00955697	0	1.4	0
40	2.36001	0	2.61858	24.3478	223.498	0.00913932	0	1.4	0
41	2.42094	0	2.65999	22.8397	219.452	0.00873131	0	1.4	0
42	2.48335	0	2.70135	21.4306	215.495	0.00834304	0	1.4	0
43	2.56084	0	2.75255	19.8107	210.71	0.00788758	0	1.4	0
44	2.62747	0	2.796	18.5371	206.747	0.00752194	0	1.4	0
45	2.69586	0	2.84004	17.3334	202.819	0.00716974	0	1.4	0
46	2.7661	0	2.88464	16.1982	198.932	0.00683111	0	1.4	0
47	2.88052	0	2.95629	14.5361	192.872	0.00632275	0	1.4	0
48	2.95664	0	3.00313	13.5481	189.032	0.00601273	0	1.4	0
49	3.035	0	3.05099	12.612	185.204	0.00571294	0	1.4	0
50	3.1157	0	3.09926	11.7372	181.439	0.00542701	0	1.4	0
51	3.28219	0	3.19751	10.151	174.067	0.0048924	0	1.4	0
52	3.3713	0	3.24818	9.42421	170.411	0.00463954	0	1.4	0
53	3.46338	0	3.30146	8.71989	166.671	0.00438914	0	1.4	0
54	3.55848	0	3.35399	8.08069	163.084	0.00415684	0	1.4	0
55	3.65684	0	3.40884	7.46685	159.444	0.00392876	0	1.4	0
56	3.80124	0	3.48666	6.6809	154.457	0.00362872	0	1.4	0
57	3.8308	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
58	4.00491	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
59	4.17902	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
60	4.35313	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
61	4.52724	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
62	4.70135	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
63	4.87546	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
64	5.04957	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
65	5.22368	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
66	5.39779	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
67	5.5719	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
68	5.74601	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
69	5.92012	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
70	6.09423	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
71	6.26834	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
72	6.44245	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
73	6.61656	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
74	6.79067	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
75	6.96478	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
76	7.13889	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
77	7.313	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
78	7.48711	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
79	7.66122	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
80	7.83533	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
81	8.00944	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
82	8.18355	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
83	8.35766	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
84	8.53177	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
85	8.70588	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
86	8.87999	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
87	9.0541	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
88	9.22821	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
89	9.40232	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
90	9.57643	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
91	9.75054	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
92	9.92465	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
93	10.0988	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
94	10.2729	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
95	10.447	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
96	10.6211	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
97	10.7952	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
98	10.9693	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
99	11.1434	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
100	11.3175	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
101	11.4916	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
102	11.6657	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
103	11.8399	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
104	12.014	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
105	12.1881	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
106	12.5363	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
107	12.5363	0	3.5	6.55546	153.623	0.00357992	0	1.4	0
